row_num,ACQUISITION_TIME,ACQUISITION_DAY,ACQUISITION_HOUR,b
153,12/9/2013 21:02,12/9/2013,2013-12-09 21,0.32
154,12/9/2013 22:03,12/9/2013,2013-12-09 22,0.41
155,12/9/2013 23:04,12/9/2013,2013-12-09 23,0.32
156,12/10/2013 0:05,12/10/2013,2013-12-10 00,0.37
157,12/10/2013 1:05,12/10/2013,2013-12-10 01,0.32
158,12/10/2013 2:06,12/10/2013,2013-12-10 02,0.19
159,12/10/2013 3:07,12/10/2013,2013-12-10 03,0.51
160,12/10/2013 4:08,12/10/2013,2013-12-10 04,0.23
161,12/10/2013 5:08,12/10/2013,2013-12-10 05,0.05
162,12/10/2013 6:09,12/10/2013,2013-12-10 06,0.19
163,12/10/2013 7:01,12/10/2013,2013-12-10 07,0.09
164,12/10/2013 8:01,12/10/2013,2013-12-10 08,0.28
165,12/10/2013 9:02,12/10/2013,2013-12-10 09,0.51
166,12/10/2013 10:03,12/10/2013,2013-12-10 10,0.77
167,12/10/2013 11:04,12/10/2013,2013-12-10 11,0.86
168,12/10/2013 12:04,12/10/2013,2013-12-10 12,1.35
169,12/10/2013 13:05,12/10/2013,2013-12-10 13,2.39
170,12/10/2013 14:06,12/10/2013,2013-12-10 14,2.52
171,12/10/2013 15:07,12/10/2013,2013-12-10 15,2.44
172,12/10/2013 16:08,12/10/2013,2013-12-10 16,2.11
173,12/10/2013 17:08,12/10/2013,2013-12-10 17,1.64
174,12/10/2013 18:09,12/10/2013,2013-12-10 18,0.73
175,12/10/2013 19:00,12/10/2013,2013-12-10 19,0.46
176,12/10/2013 20:00,12/10/2013,2013-12-10 20,0.51
177,12/10/2013 21:01,12/10/2013,2013-12-10 21,0.28
178,12/10/2013 22:02,12/10/2013,2013-12-10 22,0.32
179,12/10/2013 23:03,12/10/2013,2013-12-10 23,0.32
180,12/11/2013 0:03,12/11/2013,2013-12-11 00,0.09
181,12/11/2013 1:05,12/11/2013,2013-12-11 01,0
182,12/11/2013 2:06,12/11/2013,2013-12-11 02,0.09
183,12/11/2013 3:06,12/11/2013,2013-12-11 03,0
184,12/11/2013 4:06,12/11/2013,2013-12-11 04,0.09
185,12/11/2013 5:07,12/11/2013,2013-12-11 05,0.28
186,12/11/2013 6:07,12/11/2013,2013-12-11 06,0.37
187,12/11/2013 7:07,12/11/2013,2013-12-11 07,0.42
188,12/11/2013 8:07,12/11/2013,2013-12-11 08,0.46
189,12/11/2013 9:07,12/11/2013,2013-12-11 09,0.55
190,12/11/2013 10:06,12/11/2013,2013-12-11 10,0.6
191,12/11/2013 11:06,12/11/2013,2013-12-11 11,0.6
192,12/11/2013 12:07,12/11/2013,2013-12-11 12,0.95
193,12/11/2013 13:07,12/11/2013,2013-12-11 13,1.73
194,12/11/2013 14:06,12/11/2013,2013-12-11 14,2.23
195,12/11/2013 15:06,12/11/2013,2013-12-11 15,2.23
196,12/11/2013 16:08,12/11/2013,2013-12-11 16,1.78
197,12/11/2013 17:18,12/11/2013,2013-12-11 17,1.22
198,12/11/2013 18:09,12/11/2013,2013-12-11 18,0.6
199,12/11/2013 19:00,12/11/2013,2013-12-11 19,0.28
200,12/11/2013 20:11,12/11/2013,2013-12-11 20,0.51
201,12/11/2013 21:02,12/11/2013,2013-12-11 21,0.51
202,12/11/2013 22:02,12/11/2013,2013-12-11 22,0.55
203,12/11/2013 23:03,12/11/2013,2013-12-11 23,0.64
204,12/12/2013 0:04,12/12/2013,2013-12-12 00,0.42
205,12/12/2013 1:05,12/12/2013,2013-12-12 01,0.46
206,12/12/2013 2:05,12/12/2013,2013-12-12 02,0.51
207,12/12/2013 3:06,12/12/2013,2013-12-12 03,0.42
208,12/12/2013 4:07,12/12/2013,2013-12-12 04,0.28
209,12/12/2013 5:08,12/12/2013,2013-12-12 05,0.32
210,12/12/2013 6:08,12/12/2013,2013-12-12 06,0.32
211,12/12/2013 7:09,12/12/2013,2013-12-12 07,0.28
212,12/12/2013 8:10,12/12/2013,2013-12-12 08,0.23
213,12/12/2013 9:00,12/12/2013,2013-12-12 09,0.69
214,12/12/2013 10:02,12/12/2013,2013-12-12 10,0.73
215,12/12/2013 11:02,12/12/2013,2013-12-12 11,0.95
216,12/12/2013 12:02,12/12/2013,2013-12-12 12,1.43
217,12/12/2013 13:04,12/12/2013,2013-12-12 13,2.11
218,12/12/2013 14:05,12/12/2013,2013-12-12 14,2.48
219,12/12/2013 15:06,12/12/2013,2013-12-12 15,2.64
220,12/12/2013 16:06,12/12/2013,2013-12-12 16,2.19
221,12/12/2013 17:08,12/12/2013,2013-12-12 17,1.61
222,12/12/2013 18:08,12/12/2013,2013-12-12 18,0.6
223,12/12/2013 19:09,12/12/2013,2013-12-12 19,0.42
224,12/12/2013 20:09,12/12/2013,2013-12-12 20,0.51
225,12/12/2013 21:00,12/12/2013,2013-12-12 21,0.6
226,12/12/2013 22:02,12/12/2013,2013-12-12 22,0.55
227,12/12/2013 23:02,12/12/2013,2013-12-12 23,0.6
228,12/13/2013 0:02,12/13/2013,2013-12-13 00,0.55
229,12/13/2013 1:03,12/13/2013,2013-12-13 01,0.55
230,12/13/2013 2:05,12/13/2013,2013-12-13 02,0.23
231,12/13/2013 3:06,12/13/2013,2013-12-13 03,0
232,12/13/2013 4:07,12/13/2013,2013-12-13 04,0
233,12/13/2013 5:07,12/13/2013,2013-12-13 05,0.05
234,12/13/2013 6:07,12/13/2013,2013-12-13 06,0.05
235,12/13/2013 7:09,12/13/2013,2013-12-13 07,0
236,12/13/2013 8:01,12/13/2013,2013-12-13 08,0.19
237,12/13/2013 9:03,12/13/2013,2013-12-13 09,0.64
238,12/13/2013 10:01,12/13/2013,2013-12-13 10,1.05
239,12/13/2013 11:02,12/13/2013,2013-12-13 11,1.18
240,12/13/2013 12:02,12/13/2013,2013-12-13 12,1.53
241,12/13/2013 13:03,12/13/2013,2013-12-13 13,2.08
242,12/13/2013 14:04,12/13/2013,2013-12-13 14,2.61
243,12/13/2013 15:05,12/13/2013,2013-12-13 15,2.41
244,12/13/2013 16:05,12/13/2013,2013-12-13 16,1.95
245,12/13/2013 17:06,12/13/2013,2013-12-13 17,1.74
246,12/13/2013 18:07,12/13/2013,2013-12-13 18,0.91
247,12/13/2013 19:08,12/13/2013,2013-12-13 19,0.6
248,12/13/2013 20:08,12/13/2013,2013-12-13 20,0.6
249,12/13/2013 21:09,12/13/2013,2013-12-13 21,0.6
250,12/13/2013 22:00,12/13/2013,2013-12-13 22,0.55
251,12/13/2013 23:00,12/13/2013,2013-12-13 23,0.55
252,12/14/2013 0:02,12/14/2013,2013-12-14 00,0.6
253,12/14/2013 1:02,12/14/2013,2013-12-14 01,0.6
254,12/14/2013 2:03,12/14/2013,2013-12-14 02,0.42
255,12/14/2013 3:03,12/14/2013,2013-12-14 03,0.55
256,12/14/2013 4:05,12/14/2013,2013-12-14 04,0.64
257,12/14/2013 5:06,12/14/2013,2013-12-14 05,0.42
258,12/14/2013 6:08,12/14/2013,2013-12-14 06,0.42
259,12/14/2013 7:08,12/14/2013,2013-12-14 07,0.46
260,12/14/2013 8:08,12/14/2013,2013-12-14 08,0.19
261,12/14/2013 9:09,12/14/2013,2013-12-14 09,0.96
262,12/14/2013 10:00,12/14/2013,2013-12-14 10,1
263,12/14/2013 11:00,12/14/2013,2013-12-14 11,1.13
264,12/14/2013 12:02,12/14/2013,2013-12-14 12,0.82
265,12/14/2013 13:02,12/14/2013,2013-12-14 13,2.28
266,12/14/2013 14:03,12/14/2013,2013-12-14 14,2.61
267,12/14/2013 15:03,12/14/2013,2013-12-14 15,2.45
268,12/14/2013 16:05,12/14/2013,2013-12-14 16,2.03
269,12/14/2013 17:05,12/14/2013,2013-12-14 17,1.48
270,12/14/2013 18:06,12/14/2013,2013-12-14 18,0.64
